draft_pick,drafted_by,name,tribe
1,Daron,Genevieve Mushaluk,Vatu (Purple)
2,Mike,Aubry Bracco,Vatu (Purple)
3,Will,Kamilla Karthigesu,Kalo (Teal)
4,Cagney,Christian Hubicki,Cila (Orange)
5,Cagney,Joe Hunter,Cila (Orange)
6,Will,Charlie Davis,Kalo (Teal)
7,Mike,Savannah Louie,Cila (Orange)
8,Daron,Tiffany Ervin,Kalo (Teal)
9,Daron,Dee Valladares,Kalo (Teal)
10,Mike,Rick Devens,Cila (Orange)
11,Will,Jenna Lewis,Cila (Orange)
12,Cagney,Jonathan Young,Kalo (Teal)
13,Cagney,Angelina Keeley,Vatu (Purple)
14,Will,Colby Donaldson,Vatu (Purple)
15,Mike,Emily Flippen,Cila (Orange)
16,Daron,Kyle Fraser,Vatu (Purple)
17,Daron,Chrissy Hofbeck,Kalo (Teal)
18,Mike,Mike White,Kalo (Teal)
19,Will,Cirie Fields,Cila (Orange)
20,Cagney,Ozzy Lusth,Cila (Orange)
21,Cagney,Rizo Velovic,Vatu (Purple)
22,Will,Q Burdette,Vatu (Purple)
23,Mike,Coach (Ben Wade),Kalo (Teal)
24,Daron,Stephenie LaGrossa,Vatu (Purple)
